ID,Tipo,SKU,Nombre,Publicado,Descripción,"Precio normal",Categorías,Imágenes,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
1292,simple,BH_5X1V2FE_BH0801292,"Saint Felicient",1,,16000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1293,simple,BH_5J5PQZI_BH0791293,Nicassia,1,,15000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1294,simple,BH_FD18X71_BH0781294,"Las Perdices",1,,12000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1295,simple,BH_6ZPZ42Z_BH0771295,"Perro Callejero",1,,10000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1296,simple,BH_193G5J4_BH0761296,"Cordero con Piel de Lobo",1,,7000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1297,simple,BH_GEQ3JDI_BH0751297,Nicassia,1,,"14000,00","VINOS BLANCOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/white_wine-scaled.jpg,,,,
1298,simple,BH_27QV9Q4_BH0741298,"Las Perdices",1,,12000,"VINOS BLANCOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/white_wine-scaled.jpg,,,,
1299,simple,BH_1979P6G_BH0731299,"Chandon Extra Brut",1,,22000,CHAMPAGNE,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/white_champagne-scaled.jpg,,,,
1300,simple,BH_Z8VD9FZ_BH0721300,"Chandon Delice",1,,22000,CHAMPAGNE,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/white_champagne-scaled.jpg,,,,
1301,simple,BH_V4O1VDK_BH0711301,Salentein,1,,18000,CHAMPAGNE,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/white_champagne-scaled.jpg,,,,
1302,simple,BH_4G7Y7C8_BH0701302,"Pinina Heineken",1,,4000,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/beer_rubia.png,,,,
1303,simple,BH_BADR4XE_BH0691303,"Pinina Sol",1,,3500,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/beer_rubia.png,,,,
1305,simple,BH_7Y29SYC_BH0671305,"Agua Sin Gas",1,,2000,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/glass-of-water-4087606_1920.jpg,,,,
1306,simple,BH_974O4R9_BH0661306,"Agua Con Gas",1,,2000,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/glass-of-water-4087606_1920.jpg,,,,
1307,simple,BH_UYGRLTL_BH0651307,Sprite,1,,2500,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pngimg.com-sprite_PNG98770.png,,,,
1308,simple,BH_99EBAGN_BH0641308,"Coca Cola",1,,2500,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-4113669.webp,,,,
1309,simple,BH_6TP66L8_BH0631309,"Coca Cola Zero",1,,2500,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-4113669.webp,,,,
1310,simple,BH_I46163B_BH0621310,"Agua Saborizada",1,,2000,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/awa-pom-5001-195f3b34e593ea7f5516727707180487-1024-1024.jpg,,,,
1311,variable,BH_17GX4OL_BH0611311,"Limonada Clásica",1,,,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,"Jarra, Vaso",1,1
1312,variable,BH_NAAH9B8_BH0601312,"Limonada con Sprite",1,,,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,"Jarra, Vaso",1,1
1313,variable,BH_6P8YA37_BH0591313,"Limonada con Arándanos",1,,,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,"Jarra, Vaso",1,1
1314,simple,BH_US7D99G_BH0581314,Speed,1,,"2500,00","SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/7798119220299_02.png,,,,
1315,simple,BH_D6RYKH2_BH0571315,"Gin Beefeater",1,,6000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1316,simple,BH_MA2G18Q_BH0561316,"Gin Heráclito",1,,5000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1317,variable,BH_1W26WNK_BH0551317,"Fernet Branca",1,,,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,Tamaño,"Jarra, Vaso",1,1
1318,simple,BH_S6XB9BW_BH0541318,"Gancia Batido",1,,4000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,Tamaño,"Jarra, Vaso",1,1
1319,variable,BH_4MZ1I3K_BH0531319,Vodka,1,,,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,Tamaño,"Jarra, Vaso",1,1
1320,simple,BH_8K64KV7_BH0521320,"Classic Mojito",1,,4000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1321,simple,BH_5EJXCZ4_BH0511321,Negroni,1,,5500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1322,simple,BH_833E9R1_BH0501322,Daikiri,1,,"4000,00",TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1323,simple,BH_8C49N65_BH0491323,Caipiroska,1,,5000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1324,simple,BH_TKM7F8J_BH0481324,Caipiriña,1,,5000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1325,simple,BH_FSL714G_BH0471325,Campari,1,,4500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1326,simple,BH_8M6OACZ_BH0461326,"John Collins",1,,5000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1327,simple,BH_9U9HLO6_BH0451327,"Cuba Libre",1,,6000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1328,simple,BH_SFUW68X_BH0441328,Aperol,1,,4500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1329,simple,BH_5Y2J9KD_BH0431329,"Aperol Spritz",1,,7000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1330,simple,BH_25873G1_BH0421330,Cynar,1,,4500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1331,simple,BH_9PQX532_BH0411331,Ginebra,1,,3500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1332,simple,BH_X67LPJ1_BH0401332,"Vermouth Rosso",1,,4000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1333,simple,BH_P15GUD7_BH0391333,Collins,1,,4500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1334,simple,BH_9S3GA2X_BH0381334,"Ciabatta de crudo",1,"Jamón crudo, rucula, parmesano, mayonesa verde",5500,FRIOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/caprese.jpg,,,,
1335,simple,BH_8VI913S_BH0371335,"Ciabatta capresse",1,"Tomate, albahaca, muzarella, pasta untable",4500,FRIOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/caprese.jpg,,,,
1336,variable,BH_WRK386M_BH0361336,"La clasica",1,"<p>Mila, cubos de queso, fritas, salamin  de campo, simples de miga, mayo de la casa,pan ( come 2 pican 3 ) Extras:</p><ul><li>Verdeo $1000</li><li>Cheddar $2000</li><li>Barbacoa $2000</li><li>Mayonesa $1000</li></ul>",,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,Porcion,"1/2 Picada, Completa",1,1
1337,variable,BH_5549AVM_BH0351337,"La del medio",1,"<p>Mila, variedad de quesos, fritas, aceitunas negras, mayo, bastoncitos de muzarella, simple de miga</p>",,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,Porcion,"1/2 Picada, Completa",1,1
1338,variable,BH_D78C9JV_BH0341338,"Super bunker",1,"<p>Mila, variedad de quesos, salamín, dados de muzarella, fritas, jamón crudo, mini empanaditas, simples de miga, pan, aceitunas, dúo de mayonesas</p>",,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,Porcion,"1/2 Picada, Completa",1,1
1339,simple,BH_9O35SCE_BH0331339,"Duo de tacos",-1," Taco bistec+1 taco de pollo",6500,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,,,,
1340,simple,BH_VS42D8N_BH0321340,"Duo de quesadillas",-1,"De verdeo y panceta + jamón y queso",5500,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,,,,
